,minimum,maximum
PFK,1.1717056706103368,25.290643765944594
PYK,0.0,21.38299288752906
CS,0.8485865224814122,8.894520101187716
G6PDH2r,6.571105225716961e-17,24.137800736118933
ENO,8.686587516534646,16.732521095240955
